start_station_name,end_station_name,num_trips
Sinsenveien,Akerselvallmenningen,1
Marienlystparken,Lørenveien,1
Marienlystparken,Mailundveien,1
Colbjørnsens gate,BI Nydalen,1
Colbjørnsens gate,Badebakken,1
Sofienbergparken nord,Majorstuveien,1
Marienlystparken,Mandalls gate,1
Hallénparken,Slottsparken Øst,1
Sofienbergparken nord,Lørenporten,1
Hallénparken,Skøyen,1
Hallénparken,Skovveien,1
Hallénparken,Skippergata,1
Hallénparken,Skillebekk,1
Sofienbergparken nord,Københavngata busstopp,1
Sofienbergparken nord,Kirkeveien,1
Sofienbergparken nord,John Colletts plass,1
Hallénparken,Sirkustomta,1
Sofienbergparken nord,Ila,1
Colbjørnsens gate,Diakonhjemmet,1
Sofienbergparken nord,Idioten,1
Colbjørnsens gate,Annette Thommessens Plass,1
Sofienbergparken nord,Hydroparken,1
Sofienbergparken nord,Meltzers gate,1
Sofienbergparken nord,Nybrua holdeplass,1
Marienlystparken,Jordalgata,1
Chr. Michelsens Gate,Torshovparken vest,1
Sofienbergparken nord,Stockfleths gate,1
Sofienbergparken nord,Stavangergata,1
Hallénparken,Studentparlamentet,1
Hallénparken,Stortingstunellen,1
Sofienbergparken nord,Sognsveien,1
Marienlystparken,Kirkegata 15,1
Marienlystparken,Klingenberggata,1
Sofienbergparken nord,Skråninga,1
Chr. Michelsens Gate,Vippetangen vest,1
Chr. Michelsens Gate,Vippetangen øst,1
Hallénparken,St. Hanshaugen park vest,1
Marienlystparken,Landstads gate,1
Chr. Michelsens Gate,Økern Portal,1
Marienlystparken,Lille Schous plass,1
Marienlystparken,Lilleborgbanen,1
Marienlystparken,Lindern,1
Sofienbergparken nord,Nydalen,1
Sofienbergparken nord,Myraløkka Øst,1
Sofienbergparken nord,Storo Storsenter,1
Hallénparken,Sinsen T-bane,1
Colbjørnsens gate,Enerhaugen,1
Marienlystparken,Sentrum Scene,1
Sofienbergparken nord,Frognerveien,1
Sofienbergparken nord,Frognerbadet,1
Sofienbergparken nord,Fram-gården,1
Sofienbergparken nord,Forskningsveien,1
Colbjørnsens gate,Idioten,1
Marienlystparken,Sirkustomta,1
Hallénparken,Marienlyst,1
Marienlystparken,Sjølyst,1
Hallénparken,Majorstuveien,1
Colbjørnsens gate,Kværnerbyen,1
Colbjørnsens gate,Københavngata busstopp,1
Sofienbergparken nord,Colbjørnsens gate,1
Colbjørnsens gate,Majorstua skole,1
Hallénparken,Mailundveien,1
Hallénparken,Lørenveien,1
Sofienbergparken nord,Bjølsendumpa,1
Colbjørnsens gate,Marcus Thranes gate,1
Colbjørnsens gate,Marienlyst,1
Colbjørnsens gate,Hesselbergs Gate,1
Hallénparken,Salt,1
Hallénparken,Nydalen,1
Hallénparken,Oslo Handelsgymnasium,1
Colbjørnsens gate,Ensjø T-bane,1
Hallénparken,Sagene bussholdeplass,1
Colbjørnsens gate,Finnmarksgata,1
Hallénparken,Rådhusgata,1
Marienlystparken,Professor Aschehougs plass,1
Hallénparken,Pilestredet Studenthus,1
Sofienbergparken nord,Griffenfeldts gate,1
Hallénparken,Parkveien,1
Colbjørnsens gate,Frøen T-bane,1
Colbjørnsens gate,Galgeberg,1
Marienlystparken,Rostockgata,1
Colbjørnsens gate,Grønlands torg,1
Colbjørnsens gate,Grünerhagen Nord,1
Marienlystparken,Rådhusgata,1
Sofienbergparken nord,Grenseveien,1
Colbjørnsens gate,Hallénparken,1
Sofienbergparken nord,Gimle Kino,1
Colbjørnsens gate,Hans Nielsen Hauges plass,1
Marienlystparken,Salt,1
Hallénparken,Olav Kyrres plass,1
Marienlystparken,John Colletts plass,1
Hallénparken,Sørvest for Slottsparken,1
Marienlystparken,Jarlsborgveien,1
Marienlystparken,Bak Niels Treschows hus sør,1
Sofienbergparken nordvest,John Colletts plass,1
Chr. Michelsens Gate,Langkaia,1
Sofienbergparken nordvest,Jarlsborgveien,1
Sofienbergparken nordvest,Hydroparken,1
Marienlystparken,Bjerregaardsgate Øst,1
Chr. Michelsens Gate,Lindern,1
Marienlystparken,Bjølsendumpa,1
Hammersborg Torg,Blindern studentparkering,1
Chr. Michelsens Gate,Majorstuen T-bane,1
Hammersborg Torg,Bjølsen mølle,1
Chr. Michelsens Gate,Marienlyst,1
